[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/weasyprint/layout/float.py first seen with mtime 1596306613.1628115
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/contrib/postgres/forms/hstore.py first seen with mtime 1591733636.1561089
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/utils/inspect.py first seen with mtime 1591733636.3241072
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/db/models/sql/__init__.py first seen with mtime 1591733636.3001075
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/contrib/auth/validators.py first seen with mtime 1591733635.9561107
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/contrib/auth/password_validation.py first seen with mtime 1591733635.9561107
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.5/codecs.py first seen with mtime 1587136910.0
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/db/migrations/__init__.py first seen with mtime 1591733636.2881076
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/PIL/__init__.py first seen with mtime 1591791908.378261
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/DjangoProjects/zoom_transport/commandes/__init__.py first seen with mtime 1591737636.3610618
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.5/textwrap.py first seen with mtime 1587136910.0
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/DjangoProjects/zoom_transport/utilisateurs/models.py first seen with mtime 1596975199.9526234
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.5/wsgiref/simple_server.py first seen with mtime 1587136913.0
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/contrib/admin/options.py first seen with mtime 1591733635.792112
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/sqlparse/filters/reindent.py first seen with mtime 1591733635.5441146
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.5/email/generator.py first seen with mtime 1587136913.0
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/cairocffi/_generated/ffi.py first seen with mtime 1596306612.1628385
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/tinycss2/tokenizer.py first seen with mtime 1596306611.586854
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/template/backends/base.py first seen with mtime 1591733636.3161073
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/utils/formats.py first seen with mtime 1591733636.3241072
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.5/re.py first seen with mtime 1587136910.0
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.5/pickle.py first seen with mtime 1587136910.0
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django_tables2/data.py first seen with mtime 1596209092.9392898
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.5/lib-dynload/_decimal.cpython-35m-x86_64-linux-gnu.so first seen with mtime 1587137144.0
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django_tables2/columns/__init__.py first seen with mtime 1596209092.9392898
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/core/checks/templates.py first seen with mtime 1591733636.2641077
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/core/mail/utils.py first seen with mtime 1591733636.2681077
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/weasyprint/css/media_queries.py first seen with mtime 1596306613.1588116
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/contrib/contenttypes/management/__init__.py first seen with mtime 1591733636.02411
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/weasyprint/fonts.py first seen with mtime 1596306613.1548119
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/phonenumbers/data/alt_format_373.py first seen with mtime 1596923093.271051
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/cffi/commontypes.py first seen with mtime 1596306611.9868433
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/contrib/staticfiles/management/commands/runserver.py first seen with mtime 1591733636.2601078
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/utils/lorem_ipsum.py first seen with mtime 1591733636.3241072
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/contrib/auth/views.py first seen with mtime 1591733635.9561107
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/allauth/account/admin.py first seen with mtime 1597530916.788571
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/db/__init__.py first seen with mtime 1591733636.2761075
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/contrib/staticfiles/checks.py first seen with mtime 1591733636.2601078
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/contrib/admin/filters.py first seen with mtime 1591733635.7881122
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/phonenumbers/data/alt_format_385.py first seen with mtime 1596923093.271051
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/dateutil/_version.py first seen with mtime 1597505111.9655242
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/contrib/contenttypes/fields.py first seen with mtime 1591733636.0001101
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/db/models/fields/reverse_related.py first seen with mtime 1591733636.2961075
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/contrib/auth/checks.py first seen with mtime 1591733635.9521108
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/cairosvg/__init__.py first seen with mtime 1596306612.806821
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/allauth/__init__.py first seen with mtime 1597530916.788571
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/allauth/socialaccount/views.py first seen with mtime 1597530916.820571
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.5/bz2.py first seen with mtime 1587136910.0
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.5/posixpath.py first seen with mtime 1587136910.0
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/core/management/commands/runserver.py first seen with mtime 1591733636.2721076
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.5/http/cookies.py first seen with mtime 1587136913.0
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/phonenumbers/data/alt_format_94.py first seen with mtime 1596923093.2750509
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /usr/lib/python3.5/lib-dynload/termios.cpython-35m-x86_64-linux-gnu.so first seen with mtime 1587137143.0
[18/Aug/2020 19:35:22] DEBUG [django.utils.autoreload:351] File /home/sonia/django3_env/lib/python3.5/site-packages/django/contrib/sites/admin.py first seen with mtime 1591733636.232108
